spatial_id,Mental Health Score,Mental Health Binary,Unemployment Rate,High Education Rate,Average Income,Median Age,Recent Immigrant Rate,Rented Rate,Visible Minority Rate,Visible Minority Binary,Work Stress Score,Work Stress binary,Rate of Regular alcohol,Active transportation,Rate of Active population,Rate of Daily Smokers,Total Population,Food Insecurity score,Food Insecurity binary,Diabetes Type 2 rate,Diabetes,Overweight,Obese,Residential Instability,Material Deprivation,Ethnic Concentration,Residential Instability quintiles,Material Deprivation quintiles,Ethnic Concentration quintiles
5350080.02,3.594009217,1,14,39.7219,69386.951,38,13.8534,75.7813,64.8025,1,2.733698234,0,49.5987,67.0943,53.0709,14.4341,5418,1.248455768,1,6.258,0,24.436,18.2177,1.456656811,1.007314745,1.059240083,5,5,4
5350081,3.755951246,0,5.2,53.0135,130217.7033,40.2,2.2054,25.476,22.9492,0,3.048131006,1,62.6503,57.5711,55.8866,9.2403,2950,1.076757198,0,10.4789,0,29.9408,20.6899,-0.013321978,-0.314530161,-0.201935747,3,3,2
5350082,3.758811804,0,6.5,55.0898,162997.9621,39.5,2.8772,30.4472,26.5549,1,3.028693415,1,62.6863,57.9514,57.3267,8.0425,2862,1.091915344,0,8.2609,0,30.577,18.01,-0.101014036,-0.504429376,0.011973866,3,2,3
5350083,3.720297332,0,8.5,55.0562,132615.7823,42.4,4.5423,43.9628,34.0503,1,3.072364887,1,60.7233,58.4582,56.1289,10.8979,4370,1.089331556,0,10.7573,1,33.2363,19.2695,0.75283158,-0.119925742,-0.149006066,4,3,2
5350084,3.861619586,0,8,64.0183,173661.9624,41.5,2.0505,36.5838,19.7707,0,3.077895884,1,64.9885,60.5378,59.2657,8.1473,3925,1.042511504,0,9.7091,0,31.1243,20.237,0.169049713,-0.521950346,-0.303357421,4,2,2
5350085,3.802894103,0,5.9,62.6443,151656.0135,40.3,2.88,65.1748,24.1537,0,3.047086135,1,63.4872,59.3605,58.4929,9.8298,4165,1.056751696,0,9.7914,0,34.0032,21.1894,1.398649561,-0.336800884,-0.183379694,5,3,2
5350086,3.850432561,0,10.1,81.3014,1127635.875,41.8,1.9759,14.59,15.6261,0,3.00475386,1,59.9414,54.6798,58.9082,5.5464,2739,1.030479828,0,10.2697,0,30.5927,18.782,-0.437233887,-1.22424618,-0.255355009,2,1,2
5350087,3.850073104,0,6.4,77.2512,662890.1775,55.4,3.4813,34.7566,13.7475,0,2.932772177,1,68.6947,51.7544,55.6197,12.0752,5521,1.011764847,0,10.2166,0,35.373,15.2514,0.977882236,-1.305841797,-0.547436551,5,1,1
5350088,3.880785638,0,7.3,68.8653,145579.0595,44.7,16.1354,53.8396,38.1086,1,2.90478366,1,69.9774,51.9692,51.8364,7.5543,4272,1.06804449,0,6.1876,0,39.4507,16.1492,2.160414125,-0.770598182,0.663751677,5,1,4
5350089,3.971806685,0,5.2,77.5062,472364.7763,49.2,15.9141,47.7154,29.8001,1,2.962383625,1,74.7691,52.2784,56.3597,9.3778,5802,1.045936931,0,4.8609,0,37.5977,15.1524,2.668693385,-1.205210138,0.423276643,5,1,3
5350090,3.838021141,0,6.8,76.3402,214855.6337,47.3,3.314,52.2755,21.4368,0,2.971562579,1,67.5276,51.2594,53.0149,11.7999,4357,1.046282794,0,8.6403,0,35.3683,17.3676,1.885553108,-1.074789367,-0.159534274,5,1,2
5350091.01,3.794814576,0,10.6,78.0385,235466.6201,38.8,7.3895,64.1525,27.5201,1,2.972915186,1,65.9912,52.1424,53.7658,10.4494,6835,1.06739276,0,8.8462,0,36.7595,19.2621,2.496915734,-0.980856477,0.263789248,5,1,3
5350091.02,3.663709645,1,7.5,65.8736,129056.264,36.3,5.7143,71.8874,28.2344,1,2.978967739,1,56.6789,53.8621,54.5244,12.5386,4027,1.126501778,1,10.3322,0,35.0296,20.8325,2.429967308,-0.210841478,-0.083426805,5,3,2
5350092,3.895099304,0,9.9,76.0692,151045.9165,34.4,5.623,73.4589,28.146,1,3.017798893,1,69.9693,56.3402,59.6756,9.4272,8193,1.072590141,0,6.7383,0,38.0004,20.1195,2.027645928,-0.867379131,0.252584472,5,1,3
5350093,3.851806951,0,4.8,67.4406,153422.5192,38.2,3.2784,45.3273,24.5829,0,3.072822289,1,67.829,61.7214,63.2595,7.675,6053,1.054629886,0,7.004,0,33.8659,19.1857,0.971387656,-0.649346088,-0.014160161,5,2,3
5350094,3.640596452,1,7.8,51.9507,115064.2553,37.9,5.0279,47.8694,31.6416,1,3.005708198,1,58.7604,60.0518,61.1733,10.7924,5379,1.134658805,1,8.2574,0,32.3249,19.5598,0.716284244,0.047023581,0.061388651,4,4,3
5350095,3.678160821,1,3.3,52.243,120330.1094,37.4,1.7846,51.5107,24.9068,0,3.019479483,1,55.4129,61.8196,63.8179,7.0568,3220,1.08231386,0,8.3175,0,34.3925,18.4808,0.776754963,-0.235391043,-0.008596512,4,3,3
5350096.01,3.511314615,1,8.3,44.6661,108616.4576,40.1,4.8959,47.4892,31.4012,1,2.970018605,1,55.0639,60.7989,60.8809,12.5528,1777,1.147170301,1,8.9325,0,33.1778,18.4923,0.478387803,0.442284375,-0.012429548,4,4,3
5350096.02,3.568042691,1,7.7,49.3991,105223.5563,37.7,3.6253,46.8793,34.4451,1,2.994555691,1,54.8806,59.2565,60.8035,9.7865,3478,1.119029034,0,8.7432,0,33.6145,20.6042,0.961023454,-0.127328782,-0.028584205,5,3,3
5350097.01,3.575642123,1,11.3,48.9732,100785.4212,37.5,4.4027,54.5617,49.0595,1,2.8328421,1,54.1463,62.5444,58.4099,15.7269,4519,1.228481238,1,7.654,0,29.7164,21.3933,0.766041164,0.343301405,0.652548855,4,4,4
5350097.03,3.346394105,1,13,28.0922,51527.7978,42.3,12.6485,80.4162,52.7855,1,2.708939872,0,46.0606,59.4433,48.5469,22.606,1436,1.301192993,1,12.6392,1,29.136,23.985,2.506887967,0.473816348,0.931499746,5,4,4
5350097.04,3.714165814,0,6.8,40.8845,95748.193,35.2,8.5976,55.1439,35.3381,1,2.995805726,1,62.331,59.6603,60.4779,12.6515,6285,1.147410201,1,5.4042,0,35.25,15.9082,1.185725926,0.084799239,0.593481981,5,4,4
5350098,3.603661699,1,6.9,46.7572,105418.0163,38.1,6.6161,50.2871,41.0879,1,2.935172549,1,57.7541,59.119,56.081,13.7538,7905,1.182539282,1,7.6864,0,32.3365,20.6286,0.872622411,0.05026193,0.084632915,4,4,3
5350099,3.839165539,0,9.1,61.522,116839.9758,38,5.8748,65.3482,34.6875,1,3.013747682,1,66.2865,60.4378,57.1009,10.3158,7089,1.090407211,0,8.8093,0,33.4874,20.4469,1.443119065,-0.421262403,0.244908506,5,2,3
5350100,3.86292272,0,8.1,59.8855,108226.1733,39.5,6.0809,32.7808,28.4788,1,2.995826795,1,66.8811,63.1728,59.8152,9.4399,3392,1.071525053,0,6.163,0,33.9004,19.9616,1.363742252,-0.588114818,0.147734283,5,2,3
5350101,3.891082324,0,3.8,63.0014,132468.4314,37.5,2.3313,57.2655,17.1053,0,3.02936413,1,68.5129,60.9967,62.5029,7.9491,3268,1.057307365,0,6.0034,0,33.5869,20.6547,1.229911155,-0.560191019,-0.406668096,5,2,2
5350102.02,3.846590362,0,8.4,61.1995,87273.3065,38.7,11.0978,92.3336,26.723,1,3.036865847,1,65.0491,55.5956,55.3213,7.9168,5093,1.099013061,0,6.9374,0,43.0495,19.4619,2.710613659,0.0524419,0.491696339,5,4,4
5350102.03,3.852270009,0,9.1,61.8809,94708.3136,36.8,10.2211,84.5604,23.2707,0,3.045222816,1,67.1727,58.7564,58.8087,7.3799,4207,1.085244314,0,6.3322,0,39.7595,18.2422,2.423513193,-0.496976534,0.542720562,5,2,4
5350102.04,3.926126397,0,12.7,63.8095,180346.1574,37.6,1.632,55.477,29.0801,1,3.092296174,1,75.4304,60.0394,62.0204,11.9937,674,1.027176236,0,7.1744,0,31.8804,17.5966,0.841526963,-0.882385165,-0.062823082,4,1,2
5350102.05,3.848354559,0,7.2,57.9606,150641.8467,35.9,1.4925,38.4164,30.884,1,3.04759386,1,66.5418,62.2716,60.7351,8.6315,871,1.072448911,0,7.9473,0,33.053,20.4635,0.397073806,-0.93696534,-0.31253957,4,1,2
5350103,3.797925026,0,7.2,70.2221,188818.2793,44.1,4.4647,23.9721,16.0687,0,3.005869732,1,64.9811,53.4019,52.6006,7.9344,6634,1.023024758,0,11.5441,1,37.5174,18.1282,0.546717114,-0.967125712,-0.417855803,4,1,2
5350104,3.877485314,0,4.5,71.5115,208137.2808,40.3,1.7976,25.8768,17.1722,0,3.104434321,1,64.3663,59.4474,58.561,7.1584,5736,1.027717607,0,9.7527,0,33.3596,20.679,-0.310045132,-0.913624911,-0.364743605,3,1,2
